Código;Descrição;Unidade de Medida;Familia;Foto ou Imagem
111756;TRAFO DIST MONO, 5KVA,DED-1844,FP,SUCATA;PZ;TRANSFORMADORES SUCATA;111756.jpg
111757;TRAFO DIST BIFÁSICO,25KVA - SUCATA;PC;TRANSFORMADORES SUCATA;111757.jpg
112173;TRAFO DIST PEDESTAL,500KVA,DQN-2049I4R2;PZ;TRANSFORMADORES NOVOS;112173.jpg
112201;TRAFO TRIFÁSICO 112,5KVA - SUCATA;PZ;TRANSFORMADORES SUCATA;112201.jpg
130579;CHAVE CC24KV-100A BASEC DQN1984R1 AMB AG;PC;CHAVES;130579.jpg
130620;MICRO SWITCH 10A- PM2132 I3;PC;MATERIAL GERAL;130620.jpg
130694;DISJUNTOR,TERM1P 63A240V/4,5KAEBT004;UN;MATERIAL GERAL ESPECIAL;130694.jpg
130725;DISJ TERM TRI 50A 10KA DED-1715 I30 R8;PC;MATERIAL GERAL ESPECIAL;130725.jpg
130726;DISJ TERM TRI 100A 10KA DED-1715 I32 R8;PC;MATERIAL GERAL ESPECIAL;130726.jpg
130727;DISJ TERM TRI 125A 10KA DED-1715 I33 R8;PC;MATERIAL GERAL ESPECIAL;130727.jpg
130728;DISJ TERM TRI 150A 10KA DED-1715 I34 R8;PC;MATERIAL GERAL;130728.jpg
130729;DISJ TERM TRI 200A 10KA DED-1715 I35 R8;PC;MATERIAL GERAL ESPECIAL;130729.jpg
130730;DISJ TERM BT MONO 40A 5KA DED-1715 I8 R8;PC;MATERIAL GERAL ESPECIAL;130730.jpg
130731;DISJ,BIP,40A,10KA-FP SUBST.P/6776602;PC;MATERIAL GERAL;130731.jpg
130732;DISJ TERM BT BIPO 50A 5KA DED1715 I16 R8;PC;MATERIAL GERAL ESPECIAL;130732.jpg
130733;DISJ TERM BT BIPO 70A 5KA DED1715 I17 R8;PC;MATERIAL GERAL ESPECIAL;130733.jpg
130734;DISJ TERM BIPO 100A 10KA DED-1715 I29 R8;PC;MATERIAL GERAL;130734.jpg
130736;DISJ TERM BT TRI 70A 5KA DED-1715 I25 R8;PC;MATERIAL GERAL ESPECIAL;130736.jpg
130738;DISJ TERM BT TRI 50A 5KA DED-1715 I24 R8;PC;MATERIAL GERAL ESPECIAL;130738.jpg
130739;DISJ TERM TRI 70A 10KA, FPM;PC;MATERIAL GERAL ESPECIAL;130739.jpg
130740;DISJ TERM BT TRI 100A 10KA DED1715 I26 R8;PC;MATERIAL GERAL ESPECIAL;130740.jpg
130741;DISJ TERM BIPO 70A 10KA, FPM;PC;MATERIAL GERAL ESPECIAL;130741.jpg
130742;CHAVE,PARAFUSO MAGNETICOGRUPO A.;UN;MATERIAL DE SEGURANÇA;130742.jpg
130743;DISJUNTOR TERM MONO 63A, PM1715 I3 R11;PC;MATERIAL GERAL ESPECIAL;130743.jpg
130744;DISJ TERM BT TRI 40A 5KA DED-1715 I23 R8;PC;MATERIAL GERAL ESPECIAL;130744.jpg
130746;DISJ TERM BT BIP 40A 5KA DED-1715 I15 R8;PC;MATERIAL GERAL ESPECIAL;130746.jpg
130761;DISJUNTOR,TERM,1P,80A,120V/5KA,EBT004;PC;MATERIAL GERAL;130761.jpg
130762;DISJUNTOR,TERM,1P,100A,120V/5KA,EBT004;UN;MATERIAL GERAL;130762.jpg
130866;CARTUCHO PORTA FUSÍVEL 100A C DQN1165 R2;PC;MATERIAL GERAL;130866.jpg
130882;BYPASS PROVIS.ROSQUEAVEL P/CHAVE FUSIV;UN;FERRAMENTAS;130882.jpg
141222;CH,MONO,A11,630A-15KV,16KA,NBI110-MANUAL;PC;MATERIAL GERAL;141222.jpg
141231;CH,A6,630A-15KV,16KA,SEC TRI,NBI110-MAN;PC;MATERIAL GERAL;141231.jpg
141233;RELIG.AUTOM.VÁCUO MICROPROCES.15KV-630A;PC;RELIGADORES;141233.jpg
141234;SECCIONALIZADOR,ELETRONIC,UNIPOL.D108.01;PC;TELECONTROLE;141234.jpg
141240;RELIGADOR,3F,38kV,630A,12,5kA,EMT-004 R3;PC;SUBSTAÇÃO;141240.jpg
141242;BLOQUEADOR,CHAVE FUSSECCIONEMS66;UN;FERRAMENTAS;141242.jpg
141264;SECCION,3F,SOB CARGA,24KV,630A,GSCM03/2;PC;TELECONTROLE;141264.jpg
141283;SECCIONADOR, PREFORMADO P/CERCA DED-0089;PC;MATERIAL GERAL;141283.jpg
141285;CHAVESECC BY-PASS, 400A-15KV DED 1910 R4;PC;CHAVES;141285.jpg
141286;ADAPTADOR P/ CX. MEDIDOR BI/TR DED-1795;PC;MATERIAL GERAL;141286.jpg
141292;CH SECC CARGA FUS400A,CX DIST RAM-PM2053;PZ;CHAVES;141292.jpg
141294;CHAVE SEC TRIP 15kV-400A C/CAR DQN2127I1;PC;CHAVES;141294.jpg
141296;CHAVE SECC UNIPOLAR DISTRIB. 400A 15KV;PC;CHAVES;141296.jpg
141297;CHAVE SECC UNIPOLAR DISTRIB. 630A 15KV;PC;CHAVES;141297.jpg
141298;CX P/BLINDAGEM BUCHA BT-45KVA-PM2213 I1;PC;MATERIAL GERAL;141298.jpg
141299;CX BLINDAG BUCHA BT-75/112-5KVA-PM2213I2;PC;MATERIAL GERAL;141299.jpg
141307;SECCION 3F B CARGA 24KV 400A 12KA SUCATA;PC;TELECONTROLE;141307.jpg
141308;SECCION 3F B CARGA 24KV 630A 16KA - REC;PC;TELECONTROLE;141308.jpg
141309;SECCION 3F B CARGA 24KV 630A 16KA À REC;PC;TELECONTROLE;141309.jpg
141310;RELIGADOR,630A 15,5KV 12,5KA  3F - À REC;PC;RELIGADORES;141310.jpg
141381;RELIGADOR, 630A - 15,5KV - 16KA - 3F-REC;PC;RELIGADORES;141381.jpg
141382;RELIGADOR, 400A - 15,5KV - 8KA - 3F-REC;PC;RELIGADORES;141382.jpg
141383;RELIGADOR, 630A- 15,5KV- 12,5KA - 3F-REC;PC;RELIGADORES;141383.jpg
141385;RELIGADO,800A-14,4KV-16KA-3F-À RECUPERAR;PC;TELECONTROLE;141385.jpg
141386;RELIGADO,630A-27KV-12,5KA-3F-À RECUPERAR;PC;RELIGADORES;141386.jpg
141389;RELIGADOR MONOPOLAR P/REDE DE DIST.AEREA;PC;RELIGADORES;141389.jpg
141390;RELIGADOR,630A-27KV-12,5KA-3F-REC;PC;RELIGADORES;141390.jpg
141391;RELIGADOR,800A-15,5KV-16KA-3F-REC;PC;RELIGADORES;141391.jpg
141401;CUBÍCULO,24KV,C/ IMS ISOL EM SF6,DY803/2;UN;MATERIAL GERAL;141401.jpg
141402;CUBÍCULO,24KV,C/ IMS ISOL EM SF6,DY803/3;UN;MATERIAL GERAL;141402.jpg
141403;CHAVE,SECCIONADORA,15KV,400A,3F,ÓLEO-REC;PC;CHAVES;141403.jpg
141404;RELIGADOR,27KV,800A,3F,AUT,12,5KA-REC;PC;RELIGADORES;141404.jpg
141405;RELIGADOR,15,5KV,400A,3F,AUT,12,5KA-REC;PC;RELIGADORES;141405.jpg
141406;CH,SECCIONADORA,15KV,200A,1F,ÓLEO-À REC;PC;CHAVES;141406.jpg
141408;CH,SECCIONADORA,15KV,400A,3F,ÓLEO-À REC;PC;CHAVES;141408.jpg
141409;CONTROLE,RELIGADOR,127/220V-À RECUPERAR;PC;RELIGADORES;141409.jpg
141413;REGULADOR,7,62KV,416KVA,546A,1F-À RECUPE;PC;REGULADORES;141413.jpg
141414;REGULADOR,7,62KV,509KVA,668A,1F-À RECUPE;PC;REGULADORES;141414.jpg
141415;REGULADOR,19,92KV,667KVA,335A,1F-À RECUP;PC;REGULADORES;141415.jpg
141416;REGULADOR,7,62KV,833KVA,1093A,1F-À RECUP;PC;REGULADORES;141416.jpg
141417;REGULADOR,19,92KV,333KVA,167A,1F-À RECUP;PC;REGULADORES;141417.jpg
141418;REGULADOR,19,92KV,400KVA,201A,1F-À RECUP;UN;REGULADORES;141418.jpg
141421;RELIGADOR,27KV,800A,3F,AUT,12,5KA-À RECU;PC;RELIGADORES;141421.jpg
141422;RELIGA,15,5KV,400A,3F,AUT,12,5KA-À RECUP;PC;RELIGADORES;141422.jpg
141423;SECCIONALIZAD,14,4KV,200A,3F,ÓLEO,-À REC;PC;CHAVES;141423.jpg
141426;CH,SECCIONADORA,15KV,400A,3F,OLEO-SUCATA;UN;SUCATA;141426.jpg
141434;SEC 3F BAJO CARGA 24KV 400A 12KA ,SUCATA;EA;SUCATA;141434.jpg
141442;SECCIONADORA UNIP,400A,15KV,PM219,SUCATA;PZ;SUCATA;141442.jpg
141466;RELIGADOR,3F,15V,630A,A6KA,E-MT-004R3;PC;RELIGADORES;141466.jpg
141467;CH,SEC,1P,36KV,630A,1750MM,PM-R 198.03.3;PC;CHAVES;141467.jpg
141475;CUB,INTERLIG BARRA,17.5KV,2500A,25KA,INT;PC;MATERIAL GERAL;141475.jpg
141476;CUB,ENT,TRAFO,17.5KV,2500A,25KA,I,ESE008;PC;MATERIAL GERAL;141476.jpg
141668;PAINEL DUAS POSIÇÕES - SIST DE MED E;PC;MEDIDOR;141668.jpg
141868;CHAVE MONOFÁSICA 200A COM INTERRUPÇÃO A;PC;CHAVES;141868.jpg
141880;SECCION 3F B CARGA 24KV 630A 16KA SUCATA;PC;SUCATA;141880.jpg
141947;Pole Mounted Auto Recloser 15,5 kV 16 kA;EA;RELIGADORES;141947.jpg
141980;RELIGADOR,1F,27KV, 100A,OP.3F,NTE044/01;UN;RELIGADORES;141980.jpg
142039;RELIG.,1F,15KV,200A,BASE TIP.C,COM.NBIOT;EA;RELIGADORES;142039.jpg
142047;RELIG,3F,15kV,12,5kA,Lítio,PM-Br 199.83;EA;RELIGADORES;142047.jpg
150711;CH,A3,2000A-15KV,25KA,SEC TRI,NBI110 MAN;PC;MATERIAL GERAL;150711.jpg
150719;CH,MONO,COMAN,BANC,CAP,15KV,200A,ETA-130;PC;CHAVES;150719.jpg
150755;DISJ,145KV,2000A,SF6,40KA,EXT,GSH001/4;PC;SUBSTAÇÃO;150755.jpg
150763;SECCIONADORA UNIP,400A,125KV,PM2190I3;PC;CHAVES;150763.jpg
150771;CHAVE,SECC,145KV,2000A,3F,MAN,SECO,<10M;PC;SUBSTAÇÃO;150771.jpg
160128;CUB, BARRA INT, 17,5 KV 4000A E-SE-008;PC;MATERIAL GERAL;160128.jpg
160232;KIT CONTENCAO EMERG AMBIENTAL ABSORV LIQ;UN;FERRAMENTAS;160232.jpg
160271;BY-PASS ISOLADO  TEMPORÁRIO PARA TRANSFO;UN;FERRAMENTAS;160271.jpg
160272;Cobertura flexível p/ condutor de 15kV d;UN;FERRAMENTAS;160272.jpg
160273;COBERTURA PROT. CABO Ø25mm 26,4kV+PRES;PI;FERRAMENTAS;160273.jpg
160373;TAPA CAJA EMPAL 1F ITM HORIZ M-2077;UN;FERRAMENTAS;160373.jpg
161962;INVERSOR CONVERSOR 24V-200V POT 2000W, 60HZ SENOID;UN;FERRAMENTAS;161962.jpg
161966;CAIXA PP,BT,SUBT,1200X700,TIPO5,D199.39;EA;MATERIAL GERAL;161966.jpg
161987;Kit de Isolação de Cabos Aplicados nas A;CDA;FERRAMENTAS;161987.jpg
161993;INVERSOR PORTAVEL 12/220V MIN: 300W;CDA;FERRAMENTAS;161993.jpg
161997;KIt de Motosserra a Bateria STIHL MSA 60;EA;FERRAMENTAS;161997.jpg
162011;Kit Motopoda a Bateria modelo DUA 300 co;CDA;FERRAMENTAS;162011.jpg
163828;BATERIA,125VCC,100AH,VENT,ET-BR 191;PC;BATERIA;163828.jpg
163829;BATERIA,125VCC,200AH,VENT,ET-BR 107;PC;BATERIA;163829.jpg
163858;CONECTOR DESMONTAVEL PASSANTE (TIPO T);PC;MATERIAL GERAL;163858.jpg
163866;CAPACITOR,POT,DERIV,200KVAR,6600V,ETA161;PC;CAPACITORES;163866.jpg
163868;CAPACIT,POT MONO 7960V-200KVAR,ETD06/92;PC;CAPACITORES;163868.jpg
163895;BANCO,CAPAC,13,8KV,MAN,1X4,8MVAR,ESE009;CJT;CAPACITORES;163895.jpg
163896;PAINEL SERV. AUXILIAR CA/CC, ET-R 182 R-;PC;SUBSTAÇÃO;163896.jpg
163902;BANCO,CAPAC,11,95KV,MAN,1X4,8MVAR,ESE009;PC;CAPACITORES;163902.jpg
163916;BANCO,CAPAC,11,95KV,MAN,2X4,8MVAR,ESE009;CJT;CAPACITORES;163916.jpg
163919;BANCO,CAPAC,13,8KV,MAN,2X2,4MVAR,ESE009;CJT;CAPACITORES;163919.jpg
163921;BANCO,CAPAC,13,8KV,MAN,2X4,8MVAR,ESE009;CJT;CAPACITORES;163921.jpg
164218;CJT 3 ELEM.TRANSF.MED.MT,10A-A RECUPERAR;PC;CJT MEDIÇÃO;164218.jpg
164219;BATERIA ESTAC. VLRA 12V 26AH/20H, ET-275;UN;BATERIA;164219.jpg
164325;CAIXA PCO 1BARR 3F/N 160A 320X270MM PM-R;PC;CAIXAS;164325.jpg
164435;CAPACITOR,POT,DERIV,200KVAR,6600V,ETA161 SUC;PZ;CAPACITORES;164435.jpg
164464;ESTRUTURA, SUPORTE BCO CAPACITORES POTÊN;PC;MATERIAL GERAL;164464.jpg
164468;CONECTOR PARAF.FENDIDO, DED-1845 I.1;PC;MATERIAL GERAL ESPECIAL;164468.jpg
164472;CONECTOR À COMP. ESTRIBO, DED-0100 I.3;PC;MATERIAL GERAL;164472.jpg
164473;CONEC.COMP.ESTR,DED0100I4,FP,SUB.4549538;PC;MATERIAL GERAL;164473.jpg
164475;PROTETOR DE PARA-RAIOS,D780.04.0;PC;MATERIAL GERAL;164475.jpg
164479;CAIXA CONEX P/ LIG. CONSUMIDOR DDT-1748;PC;CAIXAS;164479.jpg
164481;CAIXA DERIVAÇÃO DED-1905 R3;PC;CAIXAS;164481.jpg
164483;TOMADA P/RELE FOTOELÉTRICO, DED-0066 R.5;PC;MATERIAL GERAL;164483.jpg
164484;CAIXA P/PROT.BAIXA TENSÃO, DED-1949 R.3;PC;MATERIAL GERAL;164484.jpg
164485;BARRAMENTO BIFÁSICO DED-1841;PC;MATERIAL GERAL ESPECIAL;164485.jpg
164486;BARRAMENTO TRIFÁSICO DED-1842 R2;PC;MATERIAL GERAL ESPECIAL;164486.jpg
164492;CAIXA DERIVAÇÃO 160A  DQN-2025 R2;PC;CAIXAS;164492.jpg
164506;PLUGUE BASICO ISOLANTE 15/25KV,D2159 R00;PC;CONECTORES;164506.jpg
164513;CAIXA P/DISJ.BT 125-200A- DQN-2145;PC;CAIXAS;164513.jpg
164514;BARRAM DERIV 0,6/1,0KV,8SAIDAS,PM-2039I3;PC;MATERIAL GERAL ESPECIAL;164514.jpg
164516;CX.MEDID.POLIFTRAVA TAMPAPM 2165;PC;CAIXAS;164516.jpg
164521;LUVA EMENDA ISOLCB AL BT 70MMPM2176 I4;UN;MATERIAL GERAL;164521.jpg
164524;CX MEDIDOR MONO ELETRONICO-DED-2186 R1;PC;CAIXAS;164524.jpg
164525;CAIXA DE MEDIDOR POLIF. C/ TRAVAVISORPM2187 ;PC;CAIXAS;164525.jpg
164527;CONTROLE COMANDO BANCO CAPACIT MT,PM2199;PC;MATERIAL GERAL;164527.jpg
164532;COBERTURA P/CONEXÕES 15KVPM2208 R0;PC;MATERIAL GERAL FEFO;164532.jpg
164549;UP TELEC PARA INSTAL EXTERNO SUCATA;PC;TELECONTROLE;164549.jpg
164550;CAIXA METALICA MEDIÇAO ELETRON PM2179I2;PC;CAIXAS;164550.jpg
164561;UP TELEC PARA INSTAL EXTERNO RECUPERADO;PC;TELECONTROLE;164561.jpg
164562;UP TELEC PARA INSTAL EXTERNO À RECUPERAR;PC;TELECONTROLE;164562.jpg
164584;CX MED MONO-TRAVA-RESSALTO+CARACT-PM2197;PC;CAIXAS;164584.jpg
164598;CAIXA,BIPARTIDA,MEDIDOR,MONO,PMA190.13.0;UN;MATERIAL GERAL;164598.jpg
164620;CAIXA,PROT SEC,POLIC, 30-125A,U/P,D19003;PC;CAIXAS;164620.jpg
164621;BATERÍA SELLADA PB-ACIDO VRLA 12VCC 24AH;PC;TELECONTROLE;164621.jpg
164647;PAINEL DE COMANDO E CONTROLE - PMA 190.1;PC;TELECONTROLE;164647.jpg
164648;PROTEÇÃO DO RGDM - DV7070;UN;MATERIAL GERAL;164648.jpg
164671;CONTROLE,RELIGADOR,127/220V-REC;PC;RELIGADORES;164671.jpg
164676;GRAMPO LINHA VIVA 4/0AWG/ 185MM2 TIPO 4;UN;MATERIAL GERAL;164676.jpg
