Código	Descrição	Unidade de Medida	Familia	Foto
350420	CABO DE FIBRA OPTICA, TIPO RRUS (CAIXA C	PC	CABO	350420.jpeg
350447	CABO,TRIPLEX,12/20KV,AL,XLPE,185MM2,TRIF	MT	CABO	350447.jpeg
350453	JUMPER PARA OPGW 437614103	UN	FERRAMENTAS	350453.jpeg
350495	CB TRIP AL XLPE2X35+35MM 0,6/1KV DED1936	MT	CABO	350495.jpeg
350496	COND.CU ISOL.750V,16MM², DED-1843 I.6 R3	MT	CONDUTOR DE COBRE	350496.jpeg
350497	CB CONTR 0,6/1KV 1,5MM²-DQN 2020 I1 R2	MT	CABO	350497.jpeg
350498	CABO CONTROLE BLIND,4X2,5MM²,PM2136I5	MT	CABO	350498.jpeg
350499	CABO CONTROLE BLIND,2X2,5MM²,PM2136I4	MT	CABO	350499.jpeg
350500	CABO CONTROLE BLIND,12X1,5MM²,PM2136I3	MT	CABO	350500.jpeg
350503	CABO CONTROLE BLIND,2X4MM²,PM2136I6	MT	CABO	350503.jpeg
350504	CABO CONTROLE BLIND,4X1,5MM²,PM2136I2	MT	CABO ESPECIAL	350504.jpeg
350524	CABO,AL,PROT,XLPE,35MM²,15KV,D21105.0	MT	CABO	350524.jpeg
350529	CABO,MT,XLPE,3X50+50,3F,12/20KV,S/FO	MT	CABO	350529.jpeg
350530	CABO,MT,XLPE,3X95+50,3F,12/20KV,S/FO	MT	CABO	350530.jpeg
350531	CABO,MT,XLPE,3X150+50,3F,12/20KV,S/FO	MT	CABO	350531.jpeg
350537	CABO, MT, AL, XLPE, 3 X 240,12/20KV.	MT	CABO	350537.jpeg
350544	CB DUP AL XLPE 1X35+1X35 0,6/1KV ,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350544.jpeg
350545	CB TRIP AL XLPE2X35+35MM 0,6/1KV ,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350545.jpeg
350546	CB,AL,PROT,XLPE,50MM²,15KV,D21105,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350546.jpeg
350547	CB,AL,PROT,XLPE,35MM²,15KV,D21105,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350547.jpeg
350548	CB,AL,PROT,XLPE,185MM²,15KV,D2110,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350548.jpeg
350549	CB,MT,XLPE,3X95+50,3F,12/20KV,S/F,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350549.jpeg
350550	CB,MT,XLPE,3X50+50,3F,12/20KV,S/F,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350550.jpeg
350624	CABO MONT 2P 26AWG PVC DB9XMAGN PT 2M	UN	CABO ESPECIAL	350624.jpeg
350639	CB,MT,XLPE,3X150+50,3F,12/20KV,S/,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350639.jpeg
350733	CB,TRIPLEX,12/20KV,AL,XLPE,185MM2,SUCATA	M	COND.ALUM.ISOLADO.SUCATA	350733.jpeg
370094	LUMINAR,FECHLAMP VM/VS DED0071-F.PADRAO	PC	MATERIAL GERAL	370094.jpeg
370107	LAMPADA LED CLASSIC A60 9W 6K E2	PC	MATERIAL GERAL	370107.jpeg
370136	LAMPADA, VM 220VX125W - DED-0069 I2 R2	PC	MATERIAL GERAL	370136.jpeg
370137	LAMPADA, VM 220VX80W -DED-0069 I1 R2	PC	MATERIAL GERAL	370137.jpeg
370138	LÂMPADA, VM 220VX250W - DED-0069 I3 R2	PC	MATERIAL GERAL	370138.jpeg
370139	LAMPADA, VM 220VX400W - DED-0069 I4 R2	PC	MATERIAL GERAL	370139.jpeg
370140	LAMPADA,VS,ELIPTICO,220VX150WDED1828I3R2	PC	MATERIAL GERAL	370140.jpeg
370141	LAMPADA,VS,ELIPTICO,220VX250WDED1828I4R2	PC	MATERIAL GERAL	370141.jpeg
370142	LAMPADA,VS,ELIPTICO,220VX70W DED1828I1R2	PC	MATERIAL GERAL	370142.jpeg
370143	LÂMPADA, VAPOR DE SÓDIO 220V X 100W, DED	PC	MATERIAL GERAL	370143.jpeg
370144	LUMINÁRIA FECHLÂMP V.S.100W-DED-1837I1	PC	MATERIAL GERAL	370144.jpeg
370146	LAMPADA VS TUBUL.220VX100W DED-1828 I5R2	PC	MATERIAL GERAL	370146.jpeg
370147	LAMPADA VS TUBUL.220VX150W DED-1828 I6R2	PC	MATERIAL GERAL	370147.jpeg
370148	LAMPADA VS TUBUL.220VX250W DED-1828 I7R2	PC	MATERIAL GERAL	370148.jpeg
370186	LAMPADA, INCANDESC 127-130V X 100W BASE	PC	MATERIAL GERAL ESPECIAL	370186.jpeg
370187	LÂMPADA VAPOR DE SÓDIO 400W E40	PC	MATERIAL GERAL	370187.jpeg
380012	LANTERNA DE CAPACETE	UN	EPI/EPC	380012.jpeg
380030	Kit Lanterna Refletor A Bateria 18v Led	EA	FERRAMENTAS	380030.jpeg
380383	LUMINARIA ABERTALAMP VS 70W-DED-1721 R3	PC	MATERIAL GERAL	380383.jpeg
380423	REATOR, LAMP. V MERC. 220VX25OW DED0072	PC	MATERIAL GERAL	380423.jpeg
380424	REATOR, LAMP V MERC 220VX400W, DED0072	PC	MATERIAL GERAL	380424.jpeg
380425	REATOR, LÂMP V MERC. 220VX125W, DED0072	PC	MATERIAL GERAL	380425.jpeg
380426	REATOR, LAMP V MERCURIO 220VX80W DED0072	PC	MATERIAL GERAL	380426.jpeg
380427	REATORLÂMP.VS.220VX250W,DQN-1704 I4 R1	PC	MATERIAL GERAL	380427.jpeg
380428	LAMPADA VAPOR DE SODIO	PC	MATERIAL GERAL	380428.jpeg
380429	REATORLÂMPADA VS.220VX70W DQN-1704I1R1	PC	MATERIAL GERAL	380429.jpeg
380430	LUMINÁRIA,FECH P/LÂMP V.S.250W-DED1837I3	PC	MATERIAL GERAL	380430.jpeg
380431	LUMINÁRIA FECHLÂMP VS 150W-DED-1837I2	PC	MATERIAL GERAL	380431.jpeg
380440	IGNITOR LAMPADA VS 70W,PM-2204 I1	PC	MATERIAL GERAL	380440.jpeg
380441	IGNITOR LAMPADA VS 100W,PM-2204 I2	PC	MATERIAL GERAL	380441.jpeg
380442	IGNITOR LAMPADA VS 150W,PM-2204 I3	PC	MATERIAL GERAL	380442.jpeg
380443	IGNITOR LAMPADA VS 250W,PM-2204 I4	PC	MATERIAL GERAL	380443.jpeg
380461	LANTERNA, TATICA DE MAO LED 250-30	UN	FERRAMENTAS	380461.jpeg
380506	BRAÇO, TIPO L AL FUNDIDO DES-14.910	PC	MATERIAL GERAL	380506.jpeg
380517	LANTERNA,BATERIA RECARREGAVEL,5.000.000	UN	FERRAMENTAS	380517.jpeg
380519	FAROL,TIPO HOLOFOTE,PARA USO MANUAL,12 V	UN	FERRAMENTAS	380519.jpeg
380521	REATORLÂMP.VS.220VX150W,DQN-1704 I3 R1	PC	MATERIAL GERAL	380521.jpeg
380522	KIT REMOV. P/ LAMÂDA VS 250W	PC	MATERIAL GERAL	380522.jpeg
380668	REATORLÂMPADA VS.220VX100W DQN-1704I2R1	PC	MATERIAL GERAL	380668.jpeg
400022	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº0	UN	MATERIAL GERAL	400022.jpeg
400023	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº1	UN	MATERIAL GERAL	400023.jpeg
400024	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº2	UN	MATERIAL GERAL	400024.jpeg
400025	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº3	UN	MATERIAL GERAL	400025.jpeg
400026	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº4	UN	MATERIAL GERAL	400026.jpeg
400027	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº5	UN	MATERIAL GERAL	400027.jpeg
400028	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº6	UN	MATERIAL GERAL	400028.jpeg
400029	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº7	UN	MATERIAL GERAL	400029.jpeg
400030	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº8	UN	MATERIAL GERAL	400030.jpeg
400031	ANILHA PARA IDENTIFICAÇÃO DE RAMAL Nº9	UN	MATERIAL GERAL	400031.jpeg
400041	CINTA POSTE CIRC.AL 170MM DED-1257 I2 R2	PC	MATERIAL GERAL	400041.jpeg
400043	CINTA POSTE CIRC.AL 210MM DED-1257 I4 R2	PC	MATERIAL GERAL	400043.jpeg
400044	CINTA POSTE CIRC.AL 230MM DED-1257 I5 R2	PC	MATERIAL GERAL	400044.jpeg
400045	 CINTA POSTE CIRC.AL 250MM DED-1257 I6 R2	PC	MATERIAL GERAL	400045.jpeg
400046	CINTA POSTE CIRC.AL 270MM DED-1257 I7 R2	PC	MATERIAL GERAL	400046.jpeg
400076	BLOQUEADOR SOLAR PARA PELE FPS 30	UN	EPI/EPC	400076.jpeg
400106	CINTA POSTE CIRC. AL150MM DED-1257 I1 R2	PC	MATERIAL GERAL	400106.jpeg
400291	RECIPIENTE 5LT PLASTICO 5000CM3	PZ	PVC	400291.jpeg
400310	PLACA DE IDENTIFICAÇÃO	UN	EPI/EPC	400310.jpeg
400369	MÓDULO SIM DO RELIGADOR NOJA	UN	PROTECCIONES (RELÉS, UP, RGDAT)	400369.jpeg
400370	MÓDULO RELÉ DO RELIGADOR NOJA	UN	PROTECCIONES (RELÉS, UP, RGDAT)	400370.jpeg
4545360	CONECTOR "T" CB CU 240MM², PASSANTE C	PC	CONECTORES	4545360.jpeg
4591633	REGUA SUPORTE DE BORNES EM PVC 484MMX40MM C/ 10 PA	PC	MATERIAL GERAL	4591633.jpeg
4609212	BASTÃO TIRA PIPA RITZ	PR	MATERIAL GERAL	4609212.jpeg
470045	MODEM (3G) - TELEMEDIDA	EA	MATERIAL GERAL	470045.jpeg
480005	BOROSCÓPIO - SONDA DE FIBRA ÓTICA COM M	UN	FERRAMENTAS	480005.jpeg
480263	REGULADOR, TENSÃO MONOFÁSICO, 250KVA, 7,	PC	MATERIAL GERAL	480263.jpeg
480313	ANTENA DIRECIONAL 5W 2400-2500MHZ	UN	MATERIAL GERAL	480313.jpeg
500012	REGULADOR,19,92KV,333KVA,167A,1F, SUC	UN	REGULADORES	500012.jpeg
500107	REGULADOR, TENSÃO MONOFÁSICO, 167KVA, 7,	PC	REGULADORES	500107.jpeg
500108	REG,TENSÃO,7,62KV,509KVA,668A,1F,ETA001	PC	REGULADORES	500108.jpeg
500140	CONTROLADOR AUT TEMP REAL	PC	MATERIAL GERAL	500140.jpeg
500151	RELIGADOR,630A 15,5KV 12,5KA 3F SUCATA	UN	SUCATA	500151.jpeg
500163	REGULADOR , 7,62KV, 167KVA, 219A, 1F-REC	PC	REGULADORES	500163.jpeg
500164	REGULADOR, 7,62KV, 250KVA, 328A, 1F-REC	PC	REGULADORES	500164.jpeg
500165	REGULA,7,62KV,167KVA,219A,1F-À RECUPERAR	PC	REGULADORES	500165.jpeg
500166	REGULA,7,62KV,250KVA,328A,1F-À RECUPERAR	PC	REGULADORES	500166.jpeg
500167	RELIGADOR,400A-15,5KV-8KA-3F-À RECUPERAR	PC	RELIGADORES	500167.jpeg
500168	REG TENSÃO,1F,D,7,62,438A,333kVA,ET39	UN	REGULADORES	500168.jpeg
500171	REGULADOR,8KV,100KVA,125A,1F-REC	UN	REGULADORES	500171.jpeg
500172	REGULADOR,7,62KV,416KVA,546A,1F-REC	PC	REGULADORES	500172.jpeg
500173	REGULADOR,7,62KV,509KVA,668A,1F- REC	PC	REGULADORES	500173.jpeg
500174	REGULADOR,19,92KV,667KVA,335A,1F-REC	PC	REGULADORES	500174.jpeg
500175	REGULADOR,7,62KV,833KVA,1093A,1F-REC	PC	REGULADORES	500175.jpeg
500176	REGULADOR,19,92KV,333KVA,167A,1F-REC	PC	REGULADORES	500176.jpeg
500181	REGULADOR, TENSAO AUTOMATICO MONO,SUCATA	PZ	REGULADORES	500181.jpeg
500186	REG,TEN,1F,7,96KV,300A,239KVA,E-MT008R02	PC	REGULADORES	500186.jpeg
500274	REGULADOR, TENSAO, MONOF 167KVA  79(SUC)	1	SUCATA	500274.jpeg
500276	REG,TENSÃO,7,62KV,167KVA,219A,1F,SUCATA	PZ	REGULADORES	500276.jpeg
510126	MED,ELET AMOSTRAL,15-120A,120/120V,3E4F	EA	MEDIDOR	510126.jpeg
510128	MED,ELET AMOSTRAL,15-120A,120/120V,2E3F	UN	MEDIDOR	510128.jpeg
510131	MED,ELET AMOSTRAL,15-120A,120/120V,1E2F	UN	MEDIDOR	510131.jpeg
510133	MED,ELET AMOSTRAL,15-100A,120/127V,1E2F	UN	MEDIDOR	510133.jpeg
510136	MED,ELET AMOSTRAL,15-120A,120V/127,2E3F	UN	MEDIDOR	510136.jpeg
510137	MED,ELET AMOSTRAL,15-120A,120V/127,3E4F	EA	MEDIDOR	510137.jpeg
510200	SWITCH TIPO I,10 PORTAS, 125 VCC,199.27	EA	DIVERSOS	510200.jpeg
510203	SWITCH TIPO II,16 PORTAS, 125 VCC,199.27	EA	DIVERSOS	510203.jpeg
510207	SWITCH TIPO IV,24 PORTAS,125 VCC,199.27	EA	DIVERSOS	510207.jpeg
510406	MEDIDOR DIV TIPOS INSERVIVEL-NO ESTADO	KG	MEDIDORES INSERVÍVEIS	510406.jpeg
510407	CHAVE DE AFERIÇÃO  DQN-2024 R.1	PC	MATERIAL GERAL ESPECIAL	510407.jpeg
510416	MÓDULO DE CONTROLE LEITURA - VS 02 	PC	MATERIAL GERAL	510416.jpeg
510421	CJT 3 ELEM.TRANSF.MED.MT-20A-PM-1939	PC	CJT MEDIÇÃO	510421.jpeg
510422	TERMINAL LEITURA INDIV-120V-RF-LCD-5-6DG	PC	MATERIAL GERAL	510422.jpeg
510423	MEDIDOR SAGA1500-1642-C1N-2X3C C/DISPLAY	PC	MEDIDOR	510423.jpeg
510431	VECTOR 4 GD BIFASICO	UN	MEDIDORES INSERVÍVEIS	510431.jpeg
510441	DISPLAY REMOTO	PC	MATERIAL GERAL	510441.jpeg
510444	CONCENTRADOR SECUND. TRIF. 120V CS9701	PC	CONCENTRADOR	510444.jpeg
510446	MEDIDOR ELETR SAGA2000-E650 IND-RF EXT	PC	MEDIDOR	510446.jpeg
510452	MEDIDOR ELECTRONI 3F 30(200)A S/ DISPLAY	PC	MEDIDOR	510452.jpeg
510455	MED,ELET,GD,MONO,15-100A,120V,2H,1E,60HZ	PC	MEDIDOR	510455.jpeg
510456	MED,ELET,GD,TRI,15-120A,120V,3E,4F, 60HZ	PC	MEDIDOR	510456.jpeg
510457	CONCENTRADOR PRIMÁRIO - FASE III	PC	CONCENTRADOR	510457.jpeg
510458	CS SGP+MIIITRI 210.120V S/MMRF	PC	CONCENTRADOR	510458.jpeg
510459	TLI -  TERMINAL DE LEITURA INDIVIDUAL FASE III	PC	MEDIDOR	510459.jpeg
510460	E650-1E4-8601-A5N-2X4C+CJ RS C410	PC	MEDIDOR	510460.jpeg
510461	E650-1R2-8602-B5N-2X4C+CJ RF C410	PC	MEDIDOR	510461.jpeg
510462	MEDIDOR,E13,MONOFASICO	PC	MEDIDOR	510462.jpeg
510463	E13.B - CJ MED 120 V 50/60HZ - SGPM3 AMPLA	PC	MEDIDOR	510463.jpeg
510464	E13.T - CJ MED 120V 50/60HZ - SGPM3 AMPLA	PC	MEDIDOR	510464.jpeg
510481	MODULO DE MEDIDA MONOFASICO ELSTER	PC	MEDIDOR	510481.jpeg
510482	MEDIDOR PARA BALANÇOENERGÉTICO	PC	MEDIDOR	510482.jpeg
510490	MEDIDOR BALANÇO ENERGÉTICO TRI - DIRETO	PC	MEDIDOR	510490.jpeg
510502	MEDIDOR ELETRON MULTIF 4F LCD 4F 2-3E	PC	MEDIDOR	510502.jpeg
510511	CONCENTRADOR SECUND,TRIF,120V,CS9701 REC	PC	CONCENTRADOR	510511.jpeg
510514	CONCENTRADOR SECUND,TRIF,120V,(A REC)	PC	CONCENTRADOR	510514.jpeg
510523	CJT3 ELEM.TRANS.MED.MT,50/100,PM-1939 I5	PC	CJT MEDIÇÃO	510523.jpeg
510524	CJT 3 ELEM.TRANSF.MED.MT-400PM-1939	PC	CJT MEDIÇÃO	510524.jpeg
510546	MED ELETR, 1F,ACT15,100A,120V,2H,1E,60HZ	PC	MEDIDOR	510546.jpeg
510559	MEDIDOR POLIF ATIV /REATIV,0,5-S/DISPLAY	PC	MEDIDOR	510559.jpeg
510561	MED,ELET,3F,45-280V,2,5-10A,C0,5,DY,E179	UN	MEDIDOR	510561.jpeg
510570	MEDIDOR ELETR BIF,MED DIR,15(120)A,120V	PC	MEDIDOR	510570.jpeg
510571	MEDIDOR ELET. TRIFASICO 3 ELE 4 FIOS	PC	MEDIDOR	510571.jpeg
510574	MEDIDOR POLIF INT ATIVA-REATIVA-ION8600	PC	MEDIDOR	510574.jpeg
510576	MEDIDOR ENERGIA - ION7650- 10MB	CX	MEDIDOR	510576.jpeg
510598	MEDIDOR TRIFASICO 120-240 V (2-5-10 A)	PC	MEDIDOR	510598.jpeg
510599	MEDIDOR ELETRONICO TRIFASICO 2-5-10A	PC	MEDIDOR	510599.jpeg
510662	CJ CAIXA CPU CS SGP+MIII TRIF 120V PRO	PC	MEDIDOR	510662.jpeg
510663	CJ RADIO CS SGP+MIII - 915MHZ	PC	MEDIDOR	510663.jpeg
510673	TERMINAL PERIFÉRICO TELECONTROLE-TPT2020	UN	TELECONTROLE	510673.jpeg
510679	MEDIDOR DE ENERGIA ION 8650C SUCATA	UN	MEDIDORES INSERVÍVEIS	510679.jpeg
510688	MED ELETR, 1F,ACT15,100A,120V - SUCATA	UN	MEDIDORES INSERVÍVEIS	510688.jpeg
510689	MED,ELET,GD,TRI,15-120A,120V, - SUCATA	UN	MEDIDORES INSERVÍVEIS	510689.jpeg
510690	MEDIDOR 3 FASES ELETROMEC.-4FIOS - SUCAT	UN	MEDIDORES INSERVÍVEIS	510690.jpeg
510692	MEDIDOR ELECTRONI 3F ACT/REAC30(200)A - SUC	UN	MEDIDORES INSERVÍVEIS	510692.jpeg
510693	MEDIDOR ELETR BIF,MED DIR,15(120A) - SUC	UN	MEDIDORES INSERVÍVEIS	510693.jpeg
510694	MEDIDOR ELETR SAGA2000-E650 IND RF - SUC	UN	MEDIDORES INSERVÍVEIS	510694.jpeg
510695	MEDIDOR ELETR TRIF,MED DIR,15(120)A - SU	UN	MEDIDORES INSERVÍVEIS	510695.jpeg
510696	MEDIDOR ELETRONICO TRIFASICO 2,5-10A -SU	UN	MEDIDORES INSERVÍVEIS	510696.jpeg
510697	MEDIDOR ENERGIA ATIVA,TRIF,15 - SUCATA	UN	MEDIDORES INSERVÍVEIS	510697.jpeg
510698	MEDIDOR TRIFASICO 120-240 V (2,5-10A) - SUC	UN	MEDIDORES INSERVÍVEIS	510698.jpeg
510699	MEDIDOR, KWH POLIF 3 ELEM 3 FA 4 FI - SU	UN	MEDIDORES INSERVÍVEIS	510699.jpeg
510700	MEDIDOR,ELETR,POLIF,E650,DIR - SUCATA	UN	MEDIDORES INSERVÍVEIS	510700.jpeg
510701	MEDIDOR,ELETR,POLIF,E650,IND - SUCATA	UN	MEDIDORES INSERVÍVEIS	510701.jpeg
510721	CONTROLE,RELIGADOR,127/220V-SUCATA	UN	SUCATA	510721.jpeg
510729	CJT 3 ELEM.TRANSF .MED.MT,10A -R -SUCATA	PEÇ	SUCATA	510729.jpeg
510730	CJT 3 ELEM.TRANSF .MED.MT,15A -R- SUCATA	PEÇ	SUCATA	510730.jpeg
510735	CJT3 ELEM.TRANS.MED.MT,50/100 - SUC	UN	PADRÃO	510735.jpeg
510746	MED ENERG ATIVA,BIF,15-120A,SEM M,SUCATA	PZ	MEDIDORES INSERVÍVEIS	510746.jpeg
510747	MED ENERG ATIVA,TRIF,15-120A,SEM ,SUCATA	PZ	MEDIDORES INSERVÍVEIS	510747.jpeg
510752	MED EL TRIF,MED DIR,15(120)A,120V,SUCATA	PZ	MEDIDORES INSERVÍVEIS	510752.jpeg
510757	CONJ TRANSFORM,MEDIÇÃO,MT PM1939 ,SUCATA	PC	CJT MEDIÇÃO	510757.jpeg
510760	MED,E13,BIFÁSICO,SUCATA	UN	MEDIDORES INSERVÍVEIS	510760.jpeg
510761	MED,E13,MONOFASICO,SUCATA	UN	MEDIDORES INSERVÍVEIS	510761.jpeg
510762	MED,E13,TRIFÁSICO,SUCATA	UN	MEDIDORES INSERVÍVEIS	510762.jpeg
510768	MEDIDOR, KWH POLIF 2 ELEM 3 FIOS-SUCATA	UN	MEDIDORES INSERVÍVEIS	510768.jpeg
510769	MEDIDOR,KWH MONO 1 ELEM 2FIOS - SUCATA	UN	MEDIDORES INSERVÍVEIS	510769.jpeg
510771	MED,GD,BIF,15-120A,120V,2E,4F,E-EM-004	PC	MEDIDOR	510771.jpeg
510780	MED ELET GERDIST,TRI 30-200A,120V,3E,4F	PC	MEDIDOR	510780.jpeg
510783	MED,ELET BRANC,15-120A,120V,2E,3F E-EM-0	PC	MEDIDOR	510783.jpeg
510784	MED,ELET BRANC 15-100A,120V,1E,2F E-E	PC	MEDIDOR	510784.jpeg
510789	MED,ELET BRANC,15-120A,120V,3E,4F E-EM04	PC	MEDIDOR	510789.jpeg
510835	CJT 3 ELEM.TRANSF.MED.MT150/200PM-1939	PC	CJT MEDIÇÃO	510835.jpeg
510837	RGDAT A70/C RELE PROT E IND FALLA CAB AE	PC	TELECONTROLE	510837.jpeg
510852	Med. Eletr.15-120A,120V,3E,4F-TB 199.59	PI	MEDIDOR	510852.jpeg
510853	PAINEL MEDICAO P/SE,8PTS,SAGA1000/SL7000	PC	MEDIDOR	510853.jpeg
510855	UNIDADE TERMINAL REMOTA	PC	MATERIAL GERAL	510855.jpeg
510866	CONC PRIM S/MOD 120V,CP9701 FASE 2 RECUP	ES	CONCENTRADOR	510866.jpeg
510867	CONC PRIM S/MOD 120V,CP9701 FASE2(A REC)	PC	CONCENTRADOR	510867.jpeg
510870	PRENSA - CABO FIXELE 1	PC	MATERIAL GERAL	510870.jpeg
510883	FLASH TEST / HIPOT	UN	FERRAMENTAS	510883.jpeg
510890	REMOTA,100-240V,3G,GRUPO A.	UN	DIVERSOS	510890.jpeg
510903	Med. Eletr.15-120A,120V,3E,4F-GD 199.59	UN	MEDIDOR	510903.jpeg
510905	Med. Eletr.15-120A,120V,3E,4F- 199.59	PI	MEDIDOR	510905.jpeg
510906	Med. Eletr.30-200A,120V,3E,4F- Sem Displ	PI	MEDIDOR	510906.jpeg
510907	Med. Eletr.30-200A,120V,3E,4F-199.59 -DR	PI	MEDIDOR	510907.jpeg
510908	Med. Eletr.15-120A,120V,2E,3F-TB 199.59	PI	MEDIDOR	510908.jpeg
510909	Med. Eletr.15-120A,120V,2E,3F-GD 199.59	UN	MEDIDOR	510909.jpeg
510910	Med. Eletr.15-120A,120V,2E,3F- 199.59	PI	MEDIDOR	510910.jpeg
510915	Med. Eletr.15-100A,120V,1E,2F-GD 199.59	UN	MEDIDOR	510915.jpeg
510918	Med. Eletr.15-100A,120V,1E,2F- 199.59	PI	MEDIDOR	510918.jpeg
510921	Med.Eletr.2,5/5 -10/20A,120/240V,3E4F-TB	PI	MEDIDOR	510921.jpeg
510927	MED AMOS:2,5/5 -10/20A-120/240V-3E/4F FO	CDA	MEDIDOR	510927.jpeg
510928	MED,ELET AMOSTRAL,30-200A,120/240V,3E,4F	CDA	MEDIDOR	510928.jpeg
510932	Display remoto med. gr A -PM-Br 199.67.1	CDA	MEDIDOR	510932.jpeg
510936	SISTEMA, MED, EXTERN, BLIND, BT, 199.60	CDA	FERRAMENTAS	510936.jpeg
510937	BLIND, TERMIN, SECUND, TRANSF,CC,199.60	CDA	FERRAMENTAS	510937.jpeg
510938	ATENUADORES , ANTENAS E REPETIDOR - BT0	EA	MEDIDOR	510938.jpeg
510976	Conj. Med BE 200A - GPRS PM-Br 199.81	EA	CJT MEDIÇÃO	510976.jpeg
511139	TERMINAL LEITURA 120V S/P1	PC	MATERIAL GERAL ESPECIAL	511139.jpeg
511198	MED ELETR SAGA2000-E650 DIR,RF EX,SUCATA	PC	MEDIDORES INSERVÍVEIS	511198.jpeg
511224	MEDIDOR ELECTRONI 3F 30(200)A S/DSP- SUC	UN	MEDIDORES INSERVÍVEIS	511224.jpeg
520015	INFLADOR PORTÁTIL PARA LUVAS ISOLANTES /	UN	FERRAMENTAS	520015.jpeg
520018	ALICATE WATTIMETRO	EA	FERRAMENTAS	520018.jpeg
520019	PADRÃO DE ENERGIA PARA CALIBRAÇÃO DE 3 METROS	EA	FERRAMENTAS	520019.jpeg
520021	SEQUENCÍMETRO, FASÍMETRO PORTATIL 100-60	EA	FERRAMENTAS	520021.jpeg
520022	AMPERÍMETRO DIGITAL FORK TESTER C/ ADAPT	EA	FERRAMENTAS	520022.jpeg
520041	Localizador de Falhas com Reflectometria	UN	FERRAMENTAS	520041.jpeg
520044	Equipamento de Identificação de Cabos de	UN	FERRAMENTAS	520044.jpeg
520109	MOSTRADOR REMO SAGA 1000-1500 AC127V	PC	MEDIDOR	520109.jpeg
520176	ANALISADOR, TENSAO, DIGITAL PORTATI	UN	FERRAMENTAS	520176.jpeg
520177	ANALISADOR, GRANDEZAS ELET, DIGITAL	UN	FERRAMENTAS	520177.jpeg
520206	ANALISADOR DESVIO REGISTRO 3F 90/240V	UN	MATERIAL GERAL	520206.jpeg
520207	ANALISADOR DESVIO REGISTRO 3F 90-480V	UN	MATERIAL GERAL	520207.jpeg
520219	MULTIMETRO, VOLT-AMP-OHM-FREQ-CAP-T	UN	FERRAMENTAS	520219.jpeg
520391	PONTA PROVA, ALTA TENSÃO P/ MULT E-E077	UN	FERRAMENTAS	520391.jpeg
520413	MALETA INSPEC TT-100 TESTE TRAFO 127V	UN	FERRAMENTAS	520413.jpeg
520420	SUC MED ELETR BR 100A,120V,1E,2F E-EM04	UN	MEDIDORES INSERVÍVEIS	520420.jpeg
520421	SUC MED ELETR BR 100A,120V,3E,4F E-EM04	UN	MEDIDORES INSERVÍVEIS	520421.jpeg
520431	SUC MED ELETR BR 120A,120V,2E,3F E-EM0	UN	MEDIDORES INSERVÍVEIS	520431.jpeg
520432	SUCATA MED ELETR GD 1F 100A,120V,2H,1E	UN	MEDIDORES INSERVÍVEIS	520432.jpeg
520433	SUCATA MED ELET GERD,TRI 200A,120V,3E,4F	UN	MEDIDORES INSERVÍVEIS	520433.jpeg
520434	SUCATA MED ELET MULTIF 4F LCD 4F 2-3E 	UN	MEDIDORES INSERVÍVEIS	520434.jpeg
520435	SUCATA MEDIDOR ION 8600	UN	MEDIDORES INSERVÍVEIS	520435.jpeg
520437	SUCATA MEDIDOR SL 7000	UN	MEDIDORES INSERVÍVEIS	520437.jpeg
520438	SUCATA MED ELET CORE,1F,15(120)A,120V	UN	MEDIDORES INSERVÍVEIS	520438.jpeg
520443	AMPERIMETRO,ALTA TENSAO,SENSOR LINK C/ D	UN	FERRAMENTAS	520443.jpeg
530073	CONJ,MED,CXA DUPLA,15KV,3EL,20/5A,ET-	PC	CJT MEDIÇÃO	530073.jpeg
530074	CONJ,MED,CXA DUPLA,15KV,3EL,200/5A,ET-89	PC	CJT MEDIÇÃO	530074.jpeg
530075	CONJ,MED,CXA DUPLA,15KV,3EL,100/5A,ET-89	PC	CJT MEDIÇÃO	530075.jpeg
530076	CONJ,MED,CXA DUPLA,15KV,3EL,15/5A,ET-	PC	CJT MEDIÇÃO	530076.jpeg
530077	CONJ,MED,CXA DUPLA,15KV,3EL,10/5A,ET-	UN	CJT MEDIÇÃO	530077.jpeg
530078	CONJ,MED,CXA DUPLA,15KV,3EL,50/5A,ET-89	PC	CJT MEDIÇÃO	530078.jpeg
