Código	Descrição	Unidade de Medida	Familia	Foto
251652	ALCA PREF.CUCB PRE-REUN.35MM DQN-1959	PC	MATERIAL GERAL ESPECIAL	251652.jpeg
251654	ALCA PREF.CUCB PRE-REUN.70MM²-DQN-1959	PC	MATERIAL GERAL	251654.jpeg
251655	CONCHA-OLHAL, AÇO FORJADO, ZINCADO A QUE	PC	FERRAGEM	251655.jpeg
251659	CINTA, METÁLICA 12,5MM - ROLO DE 30,5M	PC	MATERIAL GERAL	251659.jpeg
251692	SUPORTE MEDIÇAO EM CRUZETA-PM-2166 I2 R1	PC	FERRAGEM	251692.jpeg
251693	DETECTOR PRES CONTATO 5-15KV	PZ	FERRAMENTAS	251693.jpeg
251696	ALÇA PREF AL, 200MM², PM2209,I4 R2	PZ	MATERIAL GERAL	251696.jpeg
251697	ALÇA PREF LIGA AL-160MM²-PM2191I11	PC	MATERIAL GERAL	251697.jpeg
251698	PRENSA-CABO-GERAL-CB 32-38MM-PM2193I4	PC	MATERIAL GERAL	251698.jpeg
251709	ESPAÇ,LOSAN,RC,15KV,INST. SOLO,D53001	PC	MATERIAL GERAL	251709.jpeg
251712	CONJ,GRAMPO,ANCORAGEM,D45059.0	PC	MATERIAL GERAL OEC	251712.jpeg
251713	GRAMPO,SUSP,CABO SUST,50MM2,D73038.0	PC	MATERIAL GERAL OEC	251713.jpeg
251714	SUPORTE,SUSP, CIRC,140-210MM,D427.01.0	PC	MATERIAL GERAL OEC	251714.jpeg
251715	SUPORTE,SUSP, CIRC,200-290MM,D427.01.0	PC	MATERIAL GERAL OEC	251715.jpeg
251755	CONJ,GRAMPO,ANCORAGEM,D45059-0	PC	MATERIAL GERAL OEC	251755.jpeg
251764	ALCA,DIST,ACO,PREF,4AWG,CAA,D730.14	UN	MATERIAL GERAL	251764.jpeg
251765	ALCA,PREF,AÇO,PRE-REUN,CA,54.6MM2,D73006	PC	MATERIAL GERAL	251765.jpeg
251767	ALCA,DIST,ACO,PREF,1/0AWG,CAA,D730.14	PC	MATERIAL GERAL	251767.jpeg
251771	ALCA,PREF,CORD,ACO,9.5,MM,AR,D730.04	UN	MATERIAL GERAL	251771.jpeg
251773	ALCA,PREF,DIST,CU-NU,16MM2,7F,D73001,FPM	UN	MATERIAL GERAL	251773.jpeg
251774	ALCA,PREF,DIST,CU-NU, 70MM2,D73001,FP	UN	MATERIAL GERAL	251774.jpeg
251775	ALCA,PREF,DIST,CU-NU,25MM2,7F,D73001,	PC	MATERIAL GERAL	251775.jpeg
251777	ALCA,DISTRIB,CU-NU, 35MM2,D73001,FPM	PC	MATERIAL GERAL	251777.jpeg
251781	ALÇA,PREF,AZ,BI,CONCENT,4MM2,D730.05.0	UN	MATERIAL GERAL	251781.jpeg
251783	ALÇA,PREF,AZ,BI,CONCENT,10MM2,D730.05.0	UN	MATERIAL GERAL	251783.jpeg
251786	LACO,PREF,AÇO,PRE-REUN,54.6MM2,D73006	UN	MATERIAL GERAL	251786.jpeg
251797	OLHAL,AZ,5000DAN,M16,PM-BR/D41005.1	PC	FERRAGEM	251797.jpeg
251800	ARMACAO,SECAL1ESTRC/HASTED90510.0	UN	FERRAGEM	251800.jpeg
251814	GANCHO-OLHAL,AZ,SUSP,5000DAN,D51004.0	PC	FERRAGEM	251814.jpeg
251817	MANILHA,SAPATILHA,AZ,5000DAN,D51003.0	PC	MATERIAL GERAL	251817.jpeg
251825	FITA,ALUMINO1 X 10MMD76002.1	KG	FERRAGEM	251825.jpeg
251831	PERFIL,"U"76X38MMX900MM,AÇODED-1950 I1	PC	FERRAGEM	251831.jpeg
251832	CINTA P/POSTE CIRC.150MM, DED-0037 I1 R4	PC	FERRAGEM	251832.jpeg
251833	CINTA P/POSTE CIRC.170MM, DED-0037 I2 R4	PC	FERRAGEM	251833.jpeg
251834	CINTA POSTE CIRC. D190MM,DED-0037 I3 R4	PC	FERRAGEM	251834.jpeg
251835	CINTA P/POSTE CIRC.210MM, DED-0037 I4 R4	PC	FERRAGEM	251835.jpeg
251836	CINTA P/POSTE CIRC 310MM, DED-0037 I9 R4	PC	FERRAGEM	251836.jpeg
251837	CINTA P/POSTE CIRC 330MM DED-0037 I10 R4	PC	FERRAGEM	251837.jpeg
251838	SELA P/CRUZETA, DED-0049 R.3	PC	FERRAGEM	251838.jpeg
251839	SUPOR TRAFO POSTE CIRC.225MM DED-0050 I2	PC	FERRAGEM	251839.jpeg
251840	SUPORTE,TRANSF.POSTE DT160X210MM-DED0051	PC	FERRAGEM	251840.jpeg
251841	SUPORTE,CH.C.CIRCUIT/P.RAIOS DED0052 R.6	PC	FERRAGEM	251841.jpeg
251842	SUPORTE,TRANSF.POSTE DT170X230MM-DED0051	PC	FERRAGEM	251842.jpeg
251843	SUPORTE,TRANSF.POSTE DT180X250MMDED0051	PC	FERRAGEM	251843.jpeg
251844	CINTA POSTE DT 120X160MM DED-1003 I1 R.3	PC	FERRAGEM	251844.jpeg
251845	CINTA, POSTE DT 140X180MM DED-1003 I2 R3	PC	FERRAGEM	251845.jpeg
251846	CINTA, POSTE DT 160X210MM DED-1003 I3 R3	PC	FERRAGEM	251846.jpeg
251847	CINTA, POSTE DT 180X240MM DED-1003 I4 R3	PC	FERRAGEM	251847.jpeg
251848	CINTA, POSTE DT 200X260MM DED-1003 I5 R3	PC	FERRAGEM	251848.jpeg
251849	CINTA, POSTE DT 220X290MM DED-1003 I6 R3	PC	FERRAGEM	251849.jpeg
251850	CINTA POSTE CIRC.AL 290MM DED-1257 I8 R2	PC	FERRAGEM	251850.jpeg
251851	SELA, CRUZETA LIGA ALUMÍNIO, DED-1265 R2	PC	MATERIAL GERAL	251851.jpeg
251852	SUPORTE CH. C.CIRC/P.RAIOS  AL DED-1859	PC	MATERIAL GERAL	251852.jpeg
251853	CINTA AJUST.POSTE,BAP2,800MM-DDT1742I1	PC	FERRAGEM	251853.jpeg
251854	CINTA AJUST.POSTE,BAP3,1200MM-DDT1742I2	PC	FERRAGEM	251854.jpeg
251855	SUPORTE TIPO "Z", 113MM RC, DED-1777	PC	FERRAGEM	251855.jpeg
251856	ALÇA,PREF.AÇOCB PRE-REUN.25MM²-DQN1958	PC	MATERIAL GERAL	251856.jpeg
251857	ALCA,PREF.ACOCB CONC.TRIP.10MM²-DQN1958	PC	MATERIAL GERAL	251857.jpeg
251858	ALCA,PREF.ACOCB PRE-REUN.16MM²-DQN1958	PC	MATERIAL GERAL	251858.jpeg
251859	ALÇA,PREF.AÇOCB PRE-REUN.35MM²-DQN1958	PC	MATERIAL GERAL	251859.jpeg
251861	ALÇA,PREF.AÇOCB PRE-REUN.70MM²-DQN1958	PC	MATERIAL GERAL	251861.jpeg
251862	LACO PREF ACOCB PRE-REUN.16MM²-DQN1957	PC	MATERIAL GERAL	251862.jpeg
251863	LACO PREF.ACO CB PRE-REUN.35MM²-DQN1957	PC	MATERIAL GERAL	251863.jpeg
251864	LAÇO PREF.AÇOCB PRE-REUN.50MM²-DQN1957	PC	MATERIAL GERAL	251864.jpeg
251865	LAÇO PREF.AÇOCB PRE-REUN.70MM²-DQN1957	PC	MATERIAL GERAL	251865.jpeg
251866	ALÇA,PREF.AÇOCB.CONC.BIP.6MM²-DQN1958	PC	MATERIAL GERAL	251866.jpeg
251867	ARMAÇÃO SEC SIMP C/ HASTE 350MM DDT-1741	PC	FERRAGEM	251867.jpeg
251869	GRAMPO ANCOR.POLIMCB AL1/0AWG-DED1773I1	PC	MATERIAL GERAL	251869.jpeg
251870	GRAMPO,ANCOR.POLIMCB AL336,4MCM-DED1773	PC	MATERIAL GERAL	251870.jpeg
